"","Wavelength","Class","Wavenumbers","Intensitive","Sample"
"1",810,"Arabica",810.548,21.22761979,"1"
"2",814,"Arabica",814.408,21.83750917,"1"
"3",818,"Arabica",818.268,22.72997487,"1"
"4",822,"Arabica",822.128,22.51766332,"1"
"5",825,"Arabica",825.988,21.04017788,"1"
"6",829,"Arabica",829.848,19.25630567,"1"
"7",833,"Arabica",833.708,18.51798162,"1"
"8",837,"Arabica",837.568,18.34777311,"1"
"9",841,"Arabica",841.428,18.04403433,"1"
"10",845,"Arabica",845.288,17.73585838,"1"
"11",849,"Arabica",849.148,17.63630111,"1"
"12",853,"Arabica",853.008,18.03080154,"1"
"13",856,"Arabica",856.867,18.23474687,"1"
"14",860,"Arabica",860.727,18.2754472,"1"
"15",864,"Arabica",864.587,17.65333413,"1"
"16",868,"Arabica",868.447,16.70317087,"1"
"17",872,"Arabica",872.307,16.2375397,"1"
"18",876,"Arabica",876.167,16.1838356,"1"
"19",880,"Arabica",880.027,16.45831767,"1"
"20",883,"Arabica",883.887,16.58046158,"1"
"21",887,"Arabica",887.747,16.42611238,"1"
"22",891,"Arabica",891.607,16.2445032,"1"
"23",895,"Arabica",895.467,16.09567184,"1"
"24",899,"Arabica",899.327,15.75614942,"1"
"25",903,"Arabica",903.187,15.79168974,"1"
"26",907,"Arabica",907.047,16.1326793,"1"
"27",910,"Arabica",910.907,16.50832174,"1"
"28",914,"Arabica",914.767,16.87148285,"1"
"29",918,"Arabica",918.627,16.84265554,"1"
"30",922,"Arabica",922.487,16.84565421,"1"
"31",926,"Arabica",926.347,16.63445195,"1"
"32",930,"Arabica",930.207,16.34911312,"1"
"33",934,"Arabica",934.067,16.4368761,"1"
"34",937,"Arabica",937.927,16.49143186,"1"
"35",941,"Arabica",941.787,16.76419631,"1"
"36",945,"Arabica",945.647,16.775461,"1"
"37",949,"Arabica",949.507,17.00809767,"1"
"38",953,"Arabica",953.367,17.83696866,"1"
"39",957,"Arabica",957.227,18.03743583,"1"
"40",961,"Arabica",961.087,18.53530806,"1"
"41",964,"Arabica",964.947,19.58077034,"1"
"42",968,"Arabica",968.807,20.08708752,"1"
"43",972,"Arabica",972.667,20.60874872,"1"
"44",976,"Arabica",976.527,21.74871562,"1"
"45",980,"Arabica",980.387,22.71521053,"1"
"46",984,"Arabica",984.247,23.33262879,"1"
"47",988,"Arabica",988.107,23.62274115,"1"
"48",991,"Arabica",991.967,23.51879681,"1"
"49",995,"Arabica",995.827,23.60340367,"1"
"50",999,"Arabica",999.687,24.18692049,"1"
"51",1003,"Arabica",1003.547,24.61565872,"1"
"52",1007,"Arabica",1007.407,24.57014191,"1"
"53",1011,"Arabica",1011.267,24.95323451,"1"
"54",1015,"Arabica",1015.127,25.70241532,"1"
"55",1018,"Arabica",1018.987,26.15681758,"1"
"56",1022,"Arabica",1022.847,26.58004512,"1"
"57",1026,"Arabica",1026.707,28.14747634,"1"
"58",1030,"Arabica",1030.567,29.77171769,"1"
"59",1034,"Arabica",1034.427,30.68093729,"1"
"60",1038,"Arabica",1038.287,31.9150295,"1"
"61",1042,"Arabica",1042.147,31.97395802,"1"
"62",1046,"Arabica",1046.007,31.62427303,"1"
"63",1049,"Arabica",1049.867,31.92809053,"1"
"64",1053,"Arabica",1053.727,31.79652837,"1"
"65",1057,"Arabica",1057.587,31.60483535,"1"
"66",1061,"Arabica",1061.447,32.3806893,"1"
"67",1065,"Arabica",1065.307,33.91842009,"1"
"68",1069,"Arabica",1069.167,36.31316214,"1"
"69",1073,"Arabica",1073.027,37.15383459,"1"
"70",1076,"Arabica",1076.887,36.31814322,"1"
"71",1080,"Arabica",1080.747,36.82734456,"1"
"72",1084,"Arabica",1084.607,37.13982886,"1"
"73",1088,"Arabica",1088.467,38.12349278,"1"
"74",1092,"Arabica",1092.327,38.09054319,"1"
"75",1096,"Arabica",1096.187,37.3383494,"1"
"76",1100,"Arabica",1100.047,37.20202085,"1"
"77",1103,"Arabica",1103.907,36.30143226,"1"
"78",1107,"Arabica",1107.767,35.80601478,"1"
"79",1111,"Arabica",1111.627,35.49294363,"1"
"80",1115,"Arabica",1115.487,35.66275852,"1"
"81",1119,"Arabica",1119.347,36.2970595,"1"
"82",1123,"Arabica",1123.207,37.16573623,"1"
"83",1127,"Arabica",1127.067,37.3031025,"1"
"84",1130,"Arabica",1130.927,36.6243797,"1"
"85",1134,"Arabica",1134.786,35.60523988,"1"
