"Year","Number of Books"
0,57
1,14
2,33
3,27
4,22
5,64
6,34
7,36
8,61
9,55
10,102
11,38
12,39
13,32
14,34
15,74
16,52
17,66
18,70
19,53
20,113
21,77
22,52
23,58
24,39
25,109
26,82
27,94
28,96
29,70
30,135
31,98
32,90
33,109
34,103
35,104
36,83
37,83
38,125
39,84
40,110
41,62
42,88
43,109
44,106
45,122
46,114
47,139
48,256
49,163
50,252
51,129
52,142
53,159
54,124
55,187
56,162
57,100
58,104
59,104
60,163
61,135
62,153
63,138
64,90
65,163
66,173
67,158
68,120
69,154
70,263
71,147
72,174
73,175
74,187
75,228
76,175
77,206
78,212
79,254
80,298
81,285
82,204
83,239
84,276
85,292
86,233
87,249
88,246
89,290
90,325
91,295
92,286
93,205
94,260
95,336
96,305
97,273
98,291
99,307
100,340
101,255
102,316
103,446
104,397
105,369
106,400
107,428
108,395
109,463
110,408
111,387
112,438
113,486
114,434
115,516
116,474
117,409
118,520
119,485
120,571
121,563
122,580
123,553
124,585
125,669
126,407
127,439
128,549
129,461
130,683
131,599
132,558
133,617
134,539
135,666
136,520
137,554
138,645
139,606
140,789
